time,open,high,low,close,Volume,Volume MA,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,EMA 1,EMA 2,EMA 3,EMA 4,EMA 5,Upper ATR 1,Lower ATR 1,Upper ATR 2,Lower ATR 2,Upper ATR 3,Lower ATR 3,K,D,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2022-11-14T10:00:00+01:00,16753,16764,16672.5,16695.5,1046.222,1390.3343999999965,16329.84597344387,16646.987124203468,16012.70482268427,16964.128274963066,15695.563671924672,17281.269425722665,15378.422521165074,16749.5819864604,16696.16476501605,16593.83588879849,16475.030084006405,16388.941276941045,16793.717149382093,16598.612380650004,16891.269533748135,16501.059996283962,16988.82191811418,16403.507611917918,5.582159017339034,8.151162500391155,53.531808816290024,63.06901186719529,NaN,NaN
2022-11-14T10:05:00+01:00,16695.5,16713.5,16655,16689.5,786.359,1231.6900499999965,16332.151407231471,16649.55214059675,16014.750673866194,16966.952873962025,15697.349940500917,17284.353607327303,15379.94920713564,16740.33860392803,16695.558877287316,16599.302409438576,16482.689723863317,16395.62035967569,16790.321805627213,16600.79594894742,16885.084733967113,16506.03302060752,16979.84766230701,16411.270092267623,0.8510797062757144,4.672215438341178,53.059510502179414,61.7726881191112,NaN,NaN
2022-11-14T10:10:00+01:00,16689.5,16713,16680,16680,489.489,1086.7730999999965,16333.591537244798,16651.166154945517,16016.01691954408,16968.740772646233,15698.44230184336,17286.315390346954,15380.867684142642,16731.055741785258,16694.14443389756,16603.9137003278,16489.736519439626,16401.93990723845,16784.495724498895,16603.793143296225,16874.847015100226,16513.441852694894,16965.19830570156,16423.09056209356,1.7763568394002505e-15,2.144412907871585,52.273117006254175,60.20637688165713,NaN,NaN
2022-11-14T10:15:00+01:00,16680,16692,16632,16645.5,755.813,1021.0858999999964,16335.580187474683,16653.18170222556,16017.978672723806,16970.783216976437,15700.37715797293,17288.384731727314,15382.775643222052,16717.89331997214,16689.722212634144,16606.29006030907,16495.29950088821,16407.352353744263,16777.90555390681,16601.538871361478,16866.088895179477,16513.35553008881,16954.272236452147,16425.17218881614,1.7763568394002505e-15,0.2836932354252412,49.40917356685383,58.95264680936001,NaN,NaN
2022-11-14T10:20:00+01:00,16645.5,16705,16645,16680.5,455.746,918.6603999999963,16336.8427542857,16654.532511693316,16019.152996878085,16972.22226910093,15701.46323947047,17289.912026508548,15383.773482062854,16712.14050151489,16688.883829667404,16610.53062829141,16501.913804427917,16413.422301438834,16775.05407513488,16602.713584199926,16861.224320602356,16516.543338732452,16947.394566069834,16430.373093264974,6.174413637555645,2.058137879185218,52.26639504694782,57.7778439596471,NaN,NaN
2022-11-14T10:25:00+01:00,16680.5,16703.5,16676.5,16702.5,377.337,842.4889999999963,16337.93398853397,16655.750435848568,16020.117541219373,16973.566883163163,15702.301093904776,17291.38333047776,15384.48464659018,16710.657347435674,16690.121663334005,16615.786020960473,16509.07759712692,16419.846250295748,16772.06546269666,16608.17786397135,16854.009262059317,16526.234064608692,16935.953061421977,16444.290265246033,16.43122810112806,7.53521391289457,54.02408329731873,57.00569019336787,NaN,NaN
2022-11-14T10:30:00+01:00,16702.5,16746,16671.5,16714.5,699.786,830.0106999999962,16340.033104867473,16658.17844113514,16021.887768599805,16976.32377740281,15703.742432332137,17294.469113670475,15385.59709606447,16711.248524753264,16692.337875758185,16621.42681976273,16516.414111515245,16426.39411140029,16773.749975166367,16610.925776350003,16855.162074574546,16529.513676941824,16936.574173982728,16448.101577533642,30.513939507955808,17.706527082213174,54.9974971704868,56.33358005397343,NaN,NaN
2022-11-14T10:35:00+01:00,16714.5,16742.5,16707,16718.5,367.491,823.2021999999961,16341.161395646002,16659.514096011088,16022.808695280917,16977.866796376173,15704.455994915832,17296.219496741258,15386.103294550747,16712.364136329685,16694.71625068926,16626.97385863343,16523.631464675414,16432.88535336917,16772.848914425427,16616.583586953093,16850.981578161598,16538.450923216922,16929.114241897765,16460.318259480755,39.27766570072644,28.74094443660344,55.33694961768654,55.8660654652815,NaN,NaN
2022-11-14T10:40:00+01:00,16718.5,16769.5,16706.5,16756,516.2,715.1015499999961,16342.823067349653,16661.565931283378,16024.080203415928,16980.308795217104,15705.337339482203,17299.051659150828,15386.594475548478,16719.07734612512,16700.2875006266,16634.346780997235,16531.930340937008,16440.065678849853,16777.339259810185,16623.235741443015,16854.39101899377,16546.18398225943,16931.442778177356,16469.132223075845,57.47554450560381,42.42238323809536,58.49756611233355,55.5704231073748,NaN,NaN
2022-11-14T10:45:00+01:00,16756,16767,16737.5,16758,362.147,664.2123499999961,16344.010012894543,16663.05653831571,16024.963487473375,16982.103063736882,15705.916962052206,17301.14958915805,15386.870436631038,16725.065446721255,16705.534091478727,16641.412679225963,16540.004257332115,16447.130885986524,16779.189296434914,16631.87888652254,16852.844501391097,16558.223681566356,16926.499706347284,16484.56847661017,72.37352621621484,56.37557880751503,58.6655697896663,55.63825161054033,NaN,NaN
2022-11-14T10:50:00+01:00,16758,16780,16724,16768.5,531.307,642.4076999999962,16345.753091785335,16665.25159127466,16026.254592296009,16984.750090763984,15706.756092806683,17304.24859025331,15387.257593317358,16731.747685687216,16711.25826498066,16648.67481184162,16548.164819570255,16454.27242185349,16783.652383868546,16638.864146092776,16856.046502756435,16566.470027204887,16928.44062164432,16494.075908317,89.31169124102085,73.0535873209465,59.590424465946946,55.61089019785159,NaN,NaN
2022-11-14T10:55:00+01:00,16768.5,16785,16736.5,16742.5,292.845,622.1004499999962,16346.701003593658,16666.434289835903,16026.967717351414,16986.167576078147,15707.23443110917,17305.90086232039,15387.501144866925,16733.401887889184,16714.098422709692,16654.03625116496,16555.10536172846,16460.677479145634,16784.785818819873,16643.41102659951,16855.473214930054,16572.72363048933,16926.160611040235,16502.03623437915,82.22810111690168,81.30443952471246,56.23507650923316,55.43427531905075,NaN,NaN
2022-11-14T11:00:00+01:00,16742.5,16763,16706.5,16739.5,834.454,625.9036999999962,16349.257803311795,16669.489299716806,16029.026306906784,16989.720796121816,15708.794810501773,17309.95229252683,15388.563314096762,16734.340058983154,16716.40765700881,16658.91989395553,16561.690884523872,16466.87353516462,16786.08166768255,16646.733646335073,16855.75567835629,16577.05963566133,16925.42968903003,16507.385624987593,74.31612363095424,81.95197199629226,55.84434996582958,55.1334576384893,NaN,NaN
2022-11-14T11:05:00+01:00,16739.5,16740,16695,16716,436.062,582.5469999999962,16350.514540061531,16670.917933795477,16030.111146327585,16991.321327529426,15709.707752593638,17311.72472126337,15389.304358859692,16731.518511447284,16716.370597280737,16662.18161430093,16567.201924362307,16472.40967882763,16784.282178620637,16648.459015940836,16852.193759960537,16580.547434600936,16920.105341300437,16512.635853261036,53.38536804172208,69.97653092985934,52.752355065989235,54.74884835235827,NaN,NaN
2022-11-14T11:10:00+01:00,16716,16726,16698,16705.5,263.483,562.0090999999962,16351.254979045123,16671.742568074467,16030.767390015779,16992.23015710381,15710.279800986435,17312.717746133156,15389.79221195709,16727.51566353232,16715.382361164306,16664.65695062659,16572.141141349366,16477.58946374257,16780.443115265643,16650.321607062968,16845.503869366978,16585.260852961634,16910.564623468315,16520.200098860296,38.47787341921607,55.39312169729747,51.38340216908021,54.59539073470044,NaN,NaN
2022-11-14T11:15:00+01:00,16705.5,16717.5,16695,16716,229.219,526.2929499999962,16351.896055251445,16672.454541935214,16031.337568567676,16993.01302861898,15710.779081883908,17313.571515302752,15390.220595200139,16725.744022988885,16715.438510149368,16667.590839162214,16577.278957729744,16482.8874756594,16777.459210386325,16653.41780991241,16839.47991062328,16591.397109675458,16901.500610860236,16529.3764094385,28.200124912625245,40.02112212452113,52.70513987912816,54.57007854733963,NaN,NaN
2022-11-14T11:20:00+01:00,16716,16733,16703.5,16704,237.544,495.5676499999962,16352.565402465993,16673.20402173299,16031.926783198996,16993.842640999985,15711.288163932,17314.48126026698,15390.649544665004,16722.3987886829,16714.398645590336,16669.67136263866,16581.804709239397,16487.801087311414,16774.096438667508,16654.700852513164,16833.794231744683,16595.00305943599,16893.492024821855,16535.305266358817,22.45860438975538,29.712200907198895,50.99867923642032,54.47904727806578,NaN,NaN
2022-11-14T11:25:00+01:00,16704,16749,16703.5,16734.5,241.525,480.9777999999962,16353.272548732637,16674.024302742804,16032.52079472247,16994.77605675297,15711.769040712303,17315.52781076314,15391.017286702136,16724.260513500918,16716.22604144576,16673.375856202165,16587.258112480846,16493.283285371162,16774.909706445993,16657.542376445526,16833.593371446223,16598.858711445297,16892.277036446456,16540.175046445063,31.471547710303877,27.376759004228166,54.98779695025724,54.877520376880305,NaN,NaN
2022-11-14T11:30:00+01:00,16734.5,16771,16734.5,16765.5,303.082,474.2951999999962,16354.222023636625,16675.192678076568,16033.251369196681,16996.16333251651,15712.280714756738,17317.133986956454,15391.310060316795,16730.60504988539,16720.705492223417,16678.640092990612,16593.62389417796,16499.33254569625,16777.804609723633,16663.6063747232,16834.903727223846,16606.507257222987,16892.002844724062,16549.40813972277,50.44516294733311,34.79177168246412,58.67057049192919,55.33496148009326,NaN,NaN
2022-11-14T11:35:00+01:00,16765.5,16842.5,16750,16782.5,1182.093,520.4101999999963,16358.198005690365,16680.392426770017,16036.003584610713,17002.58684784967,15713.809163531061,17324.78126892932,15391.61474245141,16738.58888836456,16726.32317474856,16684.57494481972,16600.36946938589,16505.625155791888,16785.950926713045,16666.695422784072,16845.57867867753,16607.067670819586,16905.206430642014,16547.439918855103,78.57446753763621,53.4970593984244,60.57551648896015,55.80292099378193,NaN,NaN
2022-11-14T11:40:00+01:00,16782.5,16789.5,16763,16779.5,274.58,481.82809999999625,16359.081038622151,16681.50912447772,16036.65295276658,17003.937210333293,15714.22486691101,17326.365296188862,15391.79678105544,16744.88290553924,16731.1574315896,16689.999233687166,16606.766988336392,16511.711263440957,16788.418915556624,16673.895947622575,16845.680399523644,16616.634463655555,16902.94188349067,16559.37297968853,94.60042589017745,74.54001879171558,60.049511631915465,56.16377916959827,NaN,NaN
2022-11-14T11:45:00+01:00,16779.5,16805.5,16741,16753,420.331,463.52669999999625,16360.390787378166,16683.125302010878,16037.656272745455,17005.85981664359,15714.921758112743,17328.5943312763,15392.187243480032,16746.131689302434,16733.143119626908,16693.59927747647,16611.989595895808,16517.073235364493,16790.921640453427,16675.36459880039,16848.70016127995,16617.586077973865,16906.47868210647,16559.807557147346,80.39064273469027,84.5218453875013,55.46765265130141,56.17311510057076,NaN,NaN
2022-11-14T11:50:00+01:00,16753,16794,16753,16774.5,366.994,457.4019499999963,16361.547997406347,16684.569876812708,16038.526117999987,17007.591756219066,15715.504238593627,17330.61363562543,15392.482359187266,16750.496044794367,16736.902836024463,16698.222175906387,16617.79353889953,16522.79383013417,16793.48289107766,16680.322780971266,16850.06294613086,16623.742725918066,16906.643001184057,16567.16267086487,72.2996364238817,82.4302350162498,58.25092896952356,56.15549816179862,NaN,NaN
2022-11-14T11:55:00+01:00,16774.5,16790,16760,16777,196.775,429.4500499999963,16362.168554165984,16685.34555745307,16038.991550878898,17008.52256074016,15715.814547591812,17331.699564027243,15392.637544304725,16754.573576364462,16740.548032749513,16702.723765854593,16623.47948393883,16528.44285613119,16795.22951244177,16685.866553057258,16849.910992134024,16631.185073365003,16904.59247182628,16576.503593672747,67.16790931463207,73.28606282440136,58.575140171423556,56.14903890335271,NaN,NaN
2022-11-14T12:00:00+01:00,16777,16799,16765.5,16769.5,201.525,416.7389999999963,16362.8057413749,16686.144404635215,16039.467078114583,17009.483067895533,15716.128414854267,17332.821731155847,15392.789751593951,16756.86994923147,16743.180029772284,16706.539550662903,16628.694502369588,16533.799681550496,16796.34854662938,16690.01151291519,16849.517063486473,16636.842996058094,16902.685580343565,16583.674479201003,72.99395177924167,70.82049917258514,57.14150446659997,55.9741160462565,NaN,NaN
2022-11-14T12:05:00+01:00,16769.5,16813,16767,16790.5,304.017,413.07299999999634,16363.791364082817,16687.406903708878,16040.175824456757,17011.022443334936,15716.560284830697,17334.637982960998,15392.944745204637,16762.04380319586,16747.48184524753,16711.337290625022,16634.4732701421,16539.504133071598,16800.13832518626,16694.8253653088,16852.79480512499,16642.16888537007,16905.451285063722,16589.51240543134,79.38514953876353,73.18233687754575,60.0871527932757,56.24926435225954,NaN,NaN
2022-11-14T12:10:00+01:00,16790.5,16812,16770.5,16806.5,265.028,391.3350999999963,16364.65925621043,16688.528875142547,16040.789637278314,17012.398494074663,15716.920018346198,17336.26811300678,15393.050399414082,16768.883218088802,16752.84713204321,16716.775159732166,16640.61708192274,16545.437374558896,16804.706720557748,16700.987543528674,16856.56630907228,16649.12795501414,16908.425897586818,16597.268366499604,86.34769978643213,79.57560036814577,62.21782342173729,56.70451245625294,NaN,NaN
2022-11-14T12:15:00+01:00,16806.5,16887,16769,16777,1394.809,442.70099999999627,16369.323324949397,16694.67769956181,16043.968950336985,17020.03207417422,15718.614575724572,17345.386448786634,15393.26020111216,16770.131953767446,16755.04284731201,16720.21657917604,16645.4879004255,16550.58321067981,16811.626750932646,16698.45894369137,16868.210654553288,16641.87504007073,16924.794558173926,16585.29113645009,80.58399373590895,82.10561435370153,56.25500612507125,56.95470181761595,NaN,NaN
2022-11-14T12:20:00+01:00,16777,16813.5,16750.5,16771,543.833,444.0826499999963,16370.982978063805,16696.71599175947,16045.24996436814,17022.449005455135,15719.516950672476,17348.182019150798,15393.783936976812,16770.265499341684,16756.49349755637,16723.11848893741,16649.970475410304,16555.481361553593,16813.535693775535,16699.451301337205,16870.5778899947,16642.40910511804,16927.62008621387,16585.36690889887,61.131166475730964,76.02095333269068,55.098389289687645,57.220058040516484,NaN,NaN
2022-11-14T12:25:00+01:00,16771,16773.5,16742.5,16768,582.937,455.1221499999962,16372.673454670145,16698.709533113415,16046.637376226874,17024.745611556686,15720.601297783604,17350.781689999956,15394.565219340333,16769.916960981423,16757.539543233062,16725.683146712414,16654.185815574223,16560.203997963512,16812.72158257943,16702.357503886695,16867.903621925798,16647.175464540327,16923.085661272165,16591.99342519396,38.186029989489164,59.96706340037636,54.495079584009574,57.347910876579434,NaN,NaN
2022-11-14T12:30:00+01:00,16768,16768,16733,16746.5,359.143,446.5139499999962,16373.675299191882,16699.85446236305,16047.496136020713,17026.03362553422,15721.316972849543,17352.21278870539,15395.137809678374,16766.314351599667,16756.53594839369,16726.87268118599,16657.482750732288,16564.343909119878,16810.276413501033,16702.79548328635,16864.016878608374,16649.05501817901,16917.757343715715,16595.31455307167,22.568894368960184,40.62869694472677,50.24861601972026,57.29433493252943,NaN,NaN
2022-11-14T12:35:00+01:00,16746.5,16766,16721.5,16727.5,308.135,447.27844999999627,16374.50593796521,16700.776849881004,16048.235026049417,17027.0477617968,15721.964114133623,17353.31867371259,15395.69320221783,16760.342912892025,16753.896316721537,16726.90852797536,16659.983366777564,16567.969600028326,16806.976748606925,16700.81588483615,16860.057180492313,16647.73545295076,16913.137612377704,16594.65502106537,10.388196847091537,23.71437373518029,46.77945027622093,56.708024455812556,NaN,NaN
