time,close,EMA 1,EMA 2,EMA 3,EMA 4,EMA 5,Upper ATR 3,Lower ATR 3,RSI Stoch,RSI
2022-11-13T18:00:00+01:00,16551,16608.5859,16689.2489,16751.11399,16866.18639,17246.18221,17088.38155,16290.11626,32.49204656,37.73402601
2022-11-13T19:00:00+01:00,16531.5,16591.4557,16674.90809,16738.56462,16854.23331,17232.03008,17066.63841,16283.17778,30.92613496,36.68680182
2022-11-13T20:00:00+01:00,16554,16583.13221,16663.91645,16728.01807,16843.51069,17218.60375,17043.8446,16283.9883,37.73761062,38.79741608
2022-11-13T21:00:00+01:00,16490,16562.43617,16648.10586,16714.41704,16830.88531,17204.17595,17025.64629,16270.56544,34.30879429,35.20263891
2022-11-13T22:00:00+01:00,16390,16524.11702,16624.64169,16695.87892,16815.1394,17188.05365,17050.1078,16199.17559,25.72098629,30.45448165
2022-11-13T23:00:00+01:00,16438.5,16505.09101,16607.71972,16681.17155,16801.688,17173.21101,17035.15254,16180.28691,19.2131925,35.03146536
2022-11-14T00:00:00+01:00,16330.5,16466.29301,16582.51793,16661.13318,16784.85985,17156.52366,17018.0984,16146.93746,11.77656514,30.25625897
2022-11-14T01:00:00+01:00,16262,16420.89456,16553.37994,16638.32557,16766.18629,17138.81032,17028.02609,16078.73378,11.77656514,27.67912118
2022-11-14T02:00:00+01:00,16091.5,16347.69577,16511.39085,16607.07839,16742.09035,17118.0715,17020.81228,16001.96942,-9.47E-15,22.53415829
2022-11-14T03:00:00+01:00,16176,16309.54116,16480.90077,16582.44534,16721.87284,17099.41662,17029.7921,15932.00945,11.16404443,29.52576995
2022-11-14T04:00:00+01:00,16135,16270.75423,16449.45525,16556.87704,16700.91309,17080.31926,16980.24719,15918.6633,20.96597052,28.19602962
2022-11-14T05:00:00+01:00,15982,16206.58663,16406.95932,16524.02692,16675.23762,17058.57037,16972.58755,15841.33108,23.61230366,23.874882
2022-11-14T06:00:00+01:00,15856.5,16128.7896,16356.91756,16485.88252,16645.99699,17034.76699,16922.85806,15790.97706,12.44825923,21.02813495
2022-11-14T07:00:00+01:00,16634.5,16241.16969,16382.15233,16494.37495,16645.58639,17026.84091,17106.73994,15657.56472,35.97966647,56.02970738
2022-11-14T08:00:00+01:00,16813,16368.24309,16421.3203,16512.5821,16651.56544,17022.60644,17205.25879,15637.3818,66.66666667,60.36967151
2022-11-14T09:00:00+01:00,16753,16453.74463,16451.473,16526.32026,16655.18811,17017.2677,17228.91589,15674.03011,98.23548857,58.28711378
2022-11-14T10:00:00+01:00,16742.5,16517.91249,16477.93,16538.67339,16658.30639,17011.82675,17232.62697,15723.23303,96.15198015,57.91061882
2022-11-14T11:00:00+01:00,16777,16575.48749,16505.11818,16552.29205,16662.54545,17007.17672,17237.51536,15772.721,94.86534002,58.85111952
2022-11-14T12:00:00+01:00,16741,16612.26805,16526.56198,16563.07537,16665.3474,17001.90589,17242.10937,15811.0146,94.12178812,57.40953956
2022-11-14T13:00:00+01:00,16815.5,16657.4307,16552.82907,16577.49963,16670.70999,16998.21469,17256.37307,15849.28507,95.56523848,59.61424547
