time,close,EMA 1,EMA 2,Upper ATR 1,Lower ATR 1,Upper ATR 2,Lower ATR 2,Upper ATR 3,Lower ATR 3,Volume,K,RSI
2022-01-08T06:00:00+01:00,41953,41865.86002,41959.17982,42419.82307,41498.53657,42880.46632,41037.89332,43341.10957,40577.25007,728.863,90.99395762,47.97333219
2022-01-08T07:00:00+01:00,41914.5,41876.6689,41955.11802,42398.50103,41511.735,42841.88405,41068.35198,43285.26707,40624.96897,875.935,94.89296317,47.3064318
2022-01-08T08:00:00+01:00,41915.5,41885.29803,41951.51638,42371.2649,41531.76786,42791.01341,41112.01935,43210.76193,40692.27083,814.671,93.9064807,47.32691387
2022-01-08T09:00:00+01:00,41945.5,41898.67625,41950.96944,42360.37877,41541.5601,42769.78811,41132.15076,43179.19744,40722.74143,2144.644,93.9064807,47.98018124
2022-01-08T10:00:00+01:00,42115,41946.74819,41965.88131,42359.79712,41571.96549,42753.71293,41178.04968,43147.62874,40784.13387,1045.192,97.00075657,51.63031352
2022-01-08T11:00:00+01:00,41915,41939.69304,41961.25573,42356.24899,41566.26248,42751.24224,41171.26922,43146.23549,40776.27597,1780.138,87.00437245,47.40366025
2022-01-08T12:00:00+01:00,41943.5,41940.53903,41959.64157,42341.06388,41578.21927,42722.48619,41196.79696,43103.9085,40815.37465,1225.772,76.01518193,48.05622694
2022-01-08T13:00:00+01:00,41900,41931.53036,41954.21961,42327.25461,41581.18461,42700.28961,41208.14961,43073.32461,40835.11461,1278.725,61.53488025,47.09576466
2022-01-08T14:00:00+01:00,41885,41921.19028,41947.92692,42333.60228,41562.25156,42719.27764,41176.57621,43104.95299,40790.90085,2671.072,48.95409573,46.74879798
2022-01-08T15:00:00+01:00,41739.5,41880.81466,41928.97902,42307.60614,41550.3519,42686.23325,41171.72478,43064.86037,40793.09767,1274.249,26.60995292,43.40812926
2022-01-08T16:00:00+01:00,41609.5,41820.52251,41899.93547,42282.23208,41517.63886,42664.52869,41135.34225,43046.8253,40753.04565,3385.076,7.756921259,40.61546075
2022-01-08T17:00:00+01:00,41349,41715.73973,41849.85043,42237.84014,41461.86072,42625.82985,41073.87101,43013.81955,40685.8813,3066.9,1.18E-14,35.66405919
2022-01-08T18:00:00+01:00,40845,41522.24201,41758.50039,42160.95512,41356.04566,42563.40985,40953.59093,42965.86458,40551.1362,6225.291,1.18E-14,28.44009877
2022-01-08T19:00:00+01:00,40691,41337.52157,41661.4549,42087.52001,41235.38979,42513.58511,40809.32469,42939.65022,40383.25958,6390.18,1.18E-14,26.66293517
2022-01-08T20:00:00+01:00,40871.5,41233.96122,41589.64082,42026.34413,41152.93751,42463.04744,40716.23419,42899.75076,40279.53088,4000.596,7.158067909,32.02448086
2022-01-08T21:00:00+01:00,41000,41181.96984,41536.03711,41973.9759,41098.09832,42411.91469,40660.15953,42849.85348,40222.22074,2367.698,19.13284991,35.63230256
2022-01-08T22:00:00+01:00,41782,41315.30987,41558.39737,42044.37625,41072.41849,42530.35512,40586.43962,43016.334,40100.46074,4593.617,52.46618325,52.24385166
2022-01-08T23:00:00+01:00,41923.5,41450.46323,41591.58852,42082.21176,41100.96528,42572.835,40610.34203,43063.45825,40119.71879,3390.795,78.64144867,54.53048661
2022-01-09T00:00:00+01:00,41691,41503.91585,41600.62593,42074.59751,41126.65434,42548.56909,40652.68276,43022.54067,40178.71118,1799.941,94.90530907,50.27118976
2022-01-09T01:00:00+01:00,41770,41563.04566,41616.02357,42085.06861,41146.97853,42554.11365,40677.93349,43023.15869,40208.88845,2408.989,91.46348009,51.65302622
2022-01-09T02:00:00+01:00,41811.5,41618.25774,41633.79415,42091.12169,41176.46662,42548.44923,40719.13908,43005.77677,40261.81154,1509.02,88.91666436,52.40128106
2022-01-09T03:00:00+01:00,42097.5,41724.75602,41675.94923,42125.03909,41226.85937,42574.12894,40777.76952,43023.2188,40328.67966,1878.799,94.01135529,57.30534745
2022-01-09T04:00:00+01:00,41845,41751.4769,41691.31748,42128.86521,41253.76976,42566.41293,40816.22203,43003.96065,40378.67431,1493.732,91.89150144,52.1926461
