time,open,high,low,close,EMA 1 (8),EMA 2 (21),EMA 3 (34),EMA 4 (55),EMA 5 (100),Upper ATR 3,Lower ATR 3,RSI Stoch,RSI
2022-10-31T22:05:00+01:00,20399.5,20406,20399.5,20406,20400.26366,20394.18128,20393.44483,20400.82705,20429.77625,20459.1742,20329.18836,64.0337066,53.77482115
2022-10-31T22:10:00+01:00,20406,20406,20381.5,20385.5,20396.98284,20393.39207,20392.99084,20400.27966,20428.89949,20458.99264,20327.79151,53.80056139,47.92668634
2022-10-31T22:15:00+01:00,20385.5,20402,20380,20402,20398.09777,20394.17461,20393.50565,20400.3411,20428.36683,20459.80371,20328.54551,51.15187086,52.41254557
2022-10-31T22:20:00+01:00,20402,20409,20395.5,20398.5,20398.18715,20394.56783,20393.79104,20400.27535,20427.77541,20458.40199,20330.73367,42.69747165,51.40103352
2022-10-31T22:25:00+01:00,20398.5,20403.5,20393,20393.5,20397.14556,20394.47076,20393.77441,20400.03337,20427.09669,20455.99534,20332.94617,41.46804086,49.91889957
2022-10-31T22:30:00+01:00,20393.5,20399.5,20393,20398,20397.33544,20394.7916,20394.01587,20399.96075,20426.52051,20453.31442,20336.26877,33.48976974,51.28048762
2022-10-31T22:35:00+01:00,20398,20403,20393.5,20400,20397.92756,20395.26509,20394.35782,20399.96215,20425.99536,20451.64342,20338.88675,30.03804564,51.9063257
2022-10-31T22:40:00+01:00,20400,20413,20395,20412.5,20401.16588,20396.8319,20395.39452,20400.40993,20425.72812,20453.04035,20340.62344,48.76748587,55.73366791
2022-10-31T22:45:00+01:00,20412.5,20418.5,20397.5,20398,20400.46235,20396.93809,20395.5434,20400.32386,20425.17905,20453.63166,20340.24452,46.87817595,50.6939298
2022-10-31T22:50:00+01:00,20398,20406,20390,20405.5,20401.58183,20397.71644,20396.11235,20400.50872,20424.78937,20453.78904,20341.64385,50.58889339,53.05836025
2022-10-31T22:55:00+01:00,20405.5,20419,20398.5,20399,20401.00809,20397.83313,20396.27736,20400.45484,20424.27868,20454.2934,20341.37286,37.64809665,50.78535007
2022-10-31T23:00:00+01:00,20399,20423,20365,20377.5,20395.78407,20395.98466,20395.20437,20399.63503,20423.35237,20460.84063,20331.1287,28.73477148,44.0615188
2022-10-31T23:05:00+01:00,20377.5,20416.5,20374,20388,20394.05428,20395.25879,20394.79269,20399.21949,20422.65233,20464.58932,20325.92825,22.60521358,47.70309864
2022-10-31T23:10:00+01:00,20388,20423,20384.5,20422,20400.26444,20397.68981,20396.34739,20400.03308,20422.63941,20470.31816,20325.06145,43.73296013,57.3787398
2022-10-31T23:15:00+01:00,20422,20469,20410.5,20466.5,20414.98345,20403.94528,20400.35611,20402.4069,20423.50794,20483.92161,20323.96895,77.06629346,66.19445442
2022-10-31T23:20:00+01:00,20466.5,20486.5,20454.5,20478,20428.98713,20410.67753,20404.79291,20405.10665,20424.58699,20491.7984,20329.55665,100,68.03452672
2022-10-31T23:25:00+01:00,20478,20478,20443,20452,20434.1011,20414.43411,20407.49046,20406.78141,20425.12982,20497.26064,20331.60758,88.93009673,60.07316035
2022-10-31T23:30:00+01:00,20452,20460,20446,20450.5,20437.7453,20417.71283,20409.94814,20408.34279,20425.6322,20497.62318,20337.80248,77.2572849,59.63955441
2022-10-31T23:35:00+01:00,20450.5,20450.5,20423,20441.5,20438.57968,20419.8753,20411.75111,20409.52698,20425.94641,20499.97063,20339.77998,61.88921897,56.98196373
2022-10-31T23:40:00+01:00,20441.5,20460,20437,20453,20441.78419,20422.88664,20414.10819,20411.07959,20426.48213,20502.18944,20343.58384,61.04690448,59.46737599
2022-10-31T23:45:00+01:00,20453,20459.5,20448,20458.5,20445.49882,20426.12422,20416.64486,20412.77317,20427.11614,20502.22682,20350.02161,62.43613192,60.63867322
2022-10-31T23:50:00+01:00,20458.5,20463,20452.5,20462.5,20449.27686,20429.4311,20419.26515,20414.54913,20427.81682,20502.34781,20356.5144,68.73190999,61.50982586
2022-10-31T23:55:00+01:00,20462.5,20476,20458.5,20463.5,20452.43756,20432.52828,20421.79286,20416.29738,20428.52341,20503.98664,20361.06991,71.88885152,61.73781752
2022-11-01T00:00:00+01:00,20463.5,20478.5,20459,20468.5,20456.00699,20435.79843,20424.46184,20418.16175,20429.31503,20506.3312,20365.26567,75.06158509,62.92047223
2022-11-01T00:05:00+01:00,20468.5,20477,20465,20466,20458.22766,20438.54403,20426.83545,20419.87026,20430.04146,20506.61017,20370.47789,75.59076021,61.89040344
2022-11-01T00:10:00+01:00,20466,20474,20465.5,20471.5,20461.17707,20441.54003,20429.38771,20421.71418,20430.86242,20506.56573,20376.51432,76.60568282,63.31335342
2022-11-01T00:15:00+01:00,20471.5,20484,20464.5,20483.5,20466.13772,20445.35457,20432.47984,20423.92082,20431.90475,20509.91415,20380.79499,78.40200215,66.2723509
2022-11-01T00:20:00+01:00,20483.5,20484,20455.5,20456.5,20463.996,20446.36779,20433.85242,20425.08436,20432.39179,20512.42312,20380.31247,53.61178155,55.43782393
2022-11-01T00:25:00+01:00,20456.5,20472,20451,20470.5,20465.44134,20448.56163,20435.94657,20426.70635,20433.14641,20514.39872,20382.72454,37.88328493,59.16562278
2022-11-01T00:30:00+01:00,20470.5,20474.5,20462.5,20474.5,20467.45437,20450.91966,20438.14962,20428.41326,20433.96529,20514.62553,20387.21379,24.48590749,60.19031044
2022-11-01T00:35:00+01:00,20474.5,20474.5,20461.5,20472.5,20468.57562,20452.88151,20440.1125,20429.98779,20434.72835,20514.82267,20390.94035,36.63852723,59.38786052
2022-11-01T00:40:00+01:00,20472.5,20480,20465.5,20477,20470.44771,20455.0741,20442.22036,20431.6668,20435.56541,20515.69804,20394.45016,42.8366529,60.65874696
2022-11-01T00:45:00+01:00,20477,20513,20476.5,20490.5,20474.90377,20458.29464,20444.97919,20433.76798,20436.65323,20522.40972,20394.17955,55.39122614,64.27099631
2022-11-01T00:50:00+01:00,20490.5,20498.5,20483,20487.5,20477.70293,20460.94967,20447.40895,20435.68698,20437.66009,20523.80653,20398.09281,66.16306827,62.88909494
2022-11-01T00:55:00+01:00,20487.5,20493.5,20479.5,20480,20478.21339,20462.68152,20449.2713,20437.26959,20438.49851,20524.04861,20401.31443,62.43747432,59.44779552
