time,open,high,low,close,Volume,Volume MA,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,EMA 1,EMA 2,EMA 3,EMA 4,EMA 5,Upper ATR 1,Lower ATR 1,Upper ATR 2,Lower ATR 2,Upper ATR 3,Lower ATR 3,K,D,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2018-03-11T01:00:00+01:00,8779.0275,9761.4475,8486.2625,9531.515,55958.09929,51627.22291,9259.741667,9259.741789,9259.741545,9259.741911,9259.741423,9259.742033,9259.7413,9950.242721,10078.62294,10223.72289,10509.35849,10580.44887,11018.95442,9138.291466,11959.2859,8197.959987,12899.61738,7257.628508,11.15441039,3.718136798,45.05558446,50.53973074,NaN,NaN
2018-03-12T01:00:00+01:00,9534.0825,9894.975,8759.94,9113.485,60639.80879,51639.59238,9256.133333,9256.133333,9256.133333,9256.133333,9256.133333,9256.133333,9256.133333,9821.510764,9990.883131,10160.28073,10459.50587,10547.84968,10945.122,9036.644258,11899.36088,8082.405385,12853.59975,7128.166512,17.78789371,9.6474347,42.16552873,49.85929455,NaN,NaN
2018-03-13T01:00:00+01:00,9113.8825,9483.1675,8836.875,9143.8875,50433.12582,50369.80222,9154.643333,9154.643333,9154.643333,9154.643333,9154.643333,9154.643333,9154.643333,9717.261031,9913.883529,10102.20111,10412.5195,10516.65052,10846.12623,8981.640825,11778.36894,8049.398121,12710.61164,7117.155417,24.8736241,17.93864273,42.45463299,49.08180562,NaN,NaN
2018-03-14T01:00:00+01:00,9146.5875,9358.3,7927.9125,8194.185,82092.73359,50828.52059,8493.465833,8493.465833,8493.465833,8493.465833,8493.465833,8493.465833,8493.465833,9482.941641,9757.547299,9993.171622,10333.29327,10465.04017,10725.37177,8789.722824,11693.19625,7821.898349,12661.02072,6854.073874,13.71921371,18.79357717,36.34306998,48.0053234,NaN,NaN
2018-03-15T01:00:00+01:00,8193.8125,8416.73,7661.1875,8260.1575,73963.98572,51800.1087,8112.691667,8112.691667,8112.691667,8112.691667,8112.691667,8112.691667,8112.691667,9294.821004,9621.420953,9894.142244,10259.2527,10416.04278,10574.08243,8668.759477,11526.74391,7716.098,12479.40538,6763.436523,8.0733768,15.55540487,37.02130608,46.6869876,NaN,NaN
2018-03-16T01:00:00+01:00,8257.5025,8608.7925,7896.1225,8263.8375,52068.14896,51961.42049,8256.250833,8256.250833,8256.250833,8256.250833,8256.250833,8256.250833,8256.250833,9136.208157,9498.004276,9800.981973,10187.98787,10368.216,10433.5235,8562.485047,11369.04273,7626.965819,12304.56196,6691.446591,2.033952692,7.942181066,37.06158896,45.31634465,NaN,NaN
2018-03-17T01:00:00+01:00,8262.1575,8349.055,7732.9325,7860.585,41198.21561,52340.94672,7980.8575,7980.857622,7980.857378,7980.857744,7980.857256,7980.857866,7980.857134,8939.958441,9349.147978,9690.102146,10104.86634,10312.49086,10261.85315,8436.442802,11174.55833,7523.737625,12087.26351,6611.032449,2.033952692,4.047094061,34.46045994,43.56713458,NaN,NaN
2018-03-18T01:00:00+01:00,7856.3225,8293.4375,7314.8425,8190.1825,77837.93425,53731.55757,7932.820833,7932.820833,7932.820833,7932.820833,7932.820833,7932.820833,7932.820833,8824.608296,9243.78748,9604.392452,10036.48478,10265.32845,10161.19907,8326.375888,11078.61066,7408.964295,11996.02226,6491.552703,6.328610049,3.465505144,38.27374533,42.06999342,NaN,NaN
2018-03-19T01:00:00+01:00,8194.5075,8750.23,8101.545,8598.785,67882.31982,55036.71345,8483.52,8483.52,8483.52,8483.52,8483.52,8483.52,8483.52,8789.866251,9185.150891,9546.929169,9985.138357,10228.29415,10083.36773,8286.934055,10981.58456,7388.717219,11879.8014,6490.500384,21.06089707,9.807819938,42.7229117,40.9413634,NaN,NaN
2018-03-20T01:00:00+01:00,8596.1975,9042.815,8315.4275,8903.3125,53514.10414,55469.09552,8753.851667,8753.851667,8753.851667,8753.851667,8753.851667,8753.851667,8753.851667,8807.31952,9159.529219,9510.151073,9946.501719,10198.85012,10045.54396,8273.514479,10931.5587,7387.499738,11817.57344,6501.484998,54.39423041,27.26124584,45.85529494,40.50849577,NaN,NaN
2018-03-21T01:00:00+01:00,8906.735,9182.975,8751.2075,8892.0325,45029.81865,55831.07497,8942.071667,8942.071667,8942.071667,8942.071667,8942.071667,8942.071667,8942.071667,8820.352286,9135.211335,9474.830012,9908.842104,10169.80973,9988.779844,8281.642827,10842.34835,7428.074318,11695.91686,6574.505809,82.15326523,52.5361309,45.75547799,40.52800029,NaN,NaN
2018-03-22T01:00:00+01:00,8890.7475,9097.43,8488.1025,8710.45,44592.94225,56453.73847,8765.3275,8765.3275,8765.3275,8765.3275,8765.3275,8765.3275,8765.3275,8803.444242,9096.596669,9431.151154,9866.042386,10137.37951,9932.719391,8260.473946,10768.84211,7424.351224,11604.96484,6588.228501,94.54867804,77.03205789,44.09160447,40.72760177,NaN,NaN
2018-03-23T01:00:00+01:00,8710.805,8927.1275,8274.5125,8922.4225,45291.93076,57331.30141,8708.020833,8708.020833,8708.020833,8708.020833,8708.020833,8708.020833,8708.020833,8821.748589,9080.762653,9402.080945,9832.341676,10110.38047,9903.777681,8257.747625,10726.79271,7434.732597,11549.80774,6611.717569,94.54867804,90.41687377,46.53577069,41.12299806,NaN,NaN
2018-03-24T01:00:00+01:00,8922.0475,9012.25,8498.25,8537.1675,31416.36895,57829.53747,8682.555833,8682.555833,8682.555833,8682.555833,8682.555833,8682.555833,8682.555833,8777.966883,9031.344912,9352.65732,9786.085455,10075.42018,9832.287438,8230.402386,10633.22996,7429.45986,11434.17249,6628.517334,84.71514208,91.27083272,42.8677028,41.4760485,NaN,NaN
2018-03-25T01:00:00+01:00,8532.615,8678.825,8368.095,8452.075,27963.81561,57785.15586,8499.665,8499.665,8499.665,8499.665,8499.665,8499.665,8499.665,8727.82967,8978.684011,9301.195473,9738.442225,10039.34584,9744.611357,8212.756665,10510.5387,7446.82932,11276.46605,6680.901974,77.57112061,85.61164691,42.07876793,41.26341875,NaN,NaN
2018-03-26T02:00:00+02:00,8453.6575,8498.3575,7840.775,8143.28,54398.65094,58082.9576,8160.804167,8160.804167,8160.804167,8160.804167,8160.804167,8160.804167,8160.804167,8637.898952,8902.738192,9235.028875,9681.472145,9997.211044,9660.92662,8144.549764,10419.11505,7386.361336,11177.30348,6628.172908,57.47388681,73.25338316,39.25536039,41.05554958,NaN,NaN
2018-03-27T02:00:00+02:00,8146.1025,8220.85,7740.1775,7791.6175,44110.77857,56097.74984,7917.548333,7917.548333,7917.548333,7917.548333,7917.548333,7917.548333,7917.548333,8507.701805,8801.72722,9152.548225,9613.977337,9948.197854,9540.093082,8063.361358,10278.45894,7324.995496,11016.82481,6586.629634,39.26295634,58.10265459,36.27062347,40.61383462,NaN,NaN
2018-03-28T02:00:00+02:00,7792.47,8100.62,7732.155,7940.075,31813.35094,54359.23965,7924.283333,7924.283333,7924.283333,7924.283333,7924.283333,7924.283333,7924.283333,8420.374605,8723.3952,9083.26404,9554.19511,9903.572902,9435.339571,8011.450828,10147.28394,7299.506457,10859.22831,6587.562085,29.10783772,41.94822696,38.39998154,40.76075687,NaN,NaN
