Dates,10y_2y_bonds_spread,dxy,interest_rates,vix,gdp,pmi,unemployment_rate,cpi,m2(in billions),btc_price
2020-09-15,0.54,93.074,0.25,25.59,-2.8076923076923075,57.14666666666667,7.433333333333334,1.3066666666666666,18650.100000000002,10785.185
2020-09-16,0.55,93.102,0.25,26.04,-2.801098901098901,57.25,7.4,1.2999999999999998,18655.45,10955.3775
2020-09-17,0.56,92.909,0.25,26.46,-2.7945054945054943,57.35333333333333,7.366666666666667,1.2933333333333332,18660.8,10944.9075
2020-09-18,0.56,92.999,0.25,25.83,-2.7879120879120878,57.45666666666666,7.333333333333334,1.2866666666666666,18666.15,10935.2675
2020-09-19,0.5533333333333333,93.2735,0.25,26.48,-2.781318681318681,57.56,7.300000000000001,1.28,18671.5,11081.2575
2020-09-20,0.5466666666666667,93.548,0.25,27.13,-2.7747252747252746,57.663333333333334,7.2666666666666675,1.2733333333333332,18676.850000000002,10921.11
2020-09-21,0.54,93.761,0.25,27.78,-2.768131868131868,57.766666666666666,7.233333333333333,1.2666666666666666,18682.2,10415.95
2020-09-22,0.55,93.974,0.25,26.86,-2.7615384615384615,57.87,7.2,1.26,18687.55,10535.13
2020-09-23,0.54,94.343,0.25,28.58,-2.754945054945055,57.97333333333333,7.166666666666667,1.2533333333333332,18692.9,10234.5225
2020-09-24,0.53,94.334,0.25,28.51,-2.7483516483516484,58.07666666666667,7.133333333333334,1.2466666666666666,18698.25,10749.985
2020-09-25,0.54,94.577,0.25,26.38,-2.741758241758242,58.18,7.1000000000000005,1.24,18703.600000000002,10691.8375
2020-09-26,0.5366666666666667,94.423,0.25,26.316666666666666,-2.735164835164835,58.28333333333333,7.066666666666667,1.2333333333333334,18708.95,10731.0575
2020-09-27,0.5333333333333333,94.269,0.25,26.253333333333334,-2.7285714285714286,58.38666666666666,7.033333333333333,1.2266666666666666,18714.3,10777.975
2020-09-28,0.53,94.071,0.25,26.19,-2.721978021978022,58.489999999999995,7.0,1.22,18719.65,10694.3675
2020-09-29,0.55,93.873,0.25,26.27,-2.7153846153846155,58.593333333333334,6.966666666666667,1.2133333333333334,18725.0,10841.27
2020-09-30,0.56,93.804,0.25,26.37,-2.7087912087912085,58.696666666666665,6.933333333333334,1.2066666666666666,18730.350000000002,10779.1975
2020-10-01,0.54,93.721,0.25,26.7,-2.702197802197802,58.8,6.9,1.2,18735.7,10621.26
2020-10-02,0.57,93.809,0.25,27.63,-2.6956043956043954,58.76451612903225,6.893548387096774,1.2,18743.251612903226,10575.665
2020-10-03,0.5933333333333333,93.62899999999999,0.25,27.74,-2.689010989010989,58.729032258064514,6.887096774193549,1.2,18750.803225806452,10553.77
2020-10-04,0.6166666666666667,93.449,0.25,27.85,-2.682417582417582,58.69354838709677,6.880645161290323,1.2,18758.354838709678,10673.18
2020-10-05,0.64,93.649,0.25,27.96,-2.6758241758241756,58.65806451612903,6.8741935483870975,1.2,18765.906451612904,10796.145
2020-10-06,0.62,93.849,0.25,29.48,-2.669230769230769,58.622580645161285,6.867741935483871,1.2,18773.45806451613,10605.925
2020-10-07,0.65,93.605,0.25,28.06,-2.6626373626373625,58.58709677419355,6.861290322580645,1.2,18781.009677419355,10670.07
2020-10-08,0.65,93.572,0.25,26.36,-2.656043956043956,58.5516129032258,6.85483870967742,1.2,18788.56129032258,10930.3575
2020-10-09,0.63,93.06,0.25,25.0,-2.6494505494505494,58.516129032258064,6.848387096774194,1.2,18796.112903225807,11056.8425
