Dates,10y_2y_bonds_spread,dxy,interest_rates,vix,gdp,pmi,unemployment_rate,cpi,m2(in billions),spx,ndx,gold
2000-03-10,-0.16,105.79,5.8625,21.24,4.297826086956522,54.84193548387097,3.9419354838709677,3.596774193548387,4726.429032258065,1417.75,4667.0,289.06666666666666
2000-03-11,-0.16,105.61500000000001,5.875,21.776666666666667,4.308695652173913,54.83548387096774,3.935483870967742,3.574193548387097,4728.232258064516,1412.4166666666667,4618.833333333333,289.6333333333333
2000-03-12,-0.16,105.44,5.8875,22.313333333333333,4.319565217391305,54.829032258064515,3.929032258064516,3.5516129032258066,4730.035483870968,1407.0833333333333,4570.666666666667,290.2
2000-03-13,-0.16,105.33500000000001,5.9,22.85,4.3304347826086955,54.82258064516129,3.92258064516129,3.529032258064516,4731.8387096774195,1401.75,4522.5,288.5
2000-03-14,-0.17,105.23,5.9125,24.41,4.341304347826087,54.81612903225807,3.9161290322580644,3.5064516129032257,4733.641935483871,1380.5,4300.0,288.5
2000-03-15,-0.21,105.43,5.925,22.34,4.352173913043479,54.80967741935484,3.9096774193548387,3.4838709677419355,4735.445161290323,1412.5,4164.0,286.0
2000-03-16,-0.24,105.21,5.9375,20.77,4.363043478260869,54.803225806451614,3.903225806451613,3.4612903225806453,4737.248387096774,1479.5,4414.5,284.1
2000-03-17,-0.3,105.29,5.95,22.37,4.373913043478261,54.79677419354839,3.896774193548387,3.4387096774193546,4739.051612903226,1488.5,4516.5,284.53333333333336
2000-03-18,-0.31333333333333335,105.215,5.9625,22.566666666666666,4.3847826086956525,54.79032258064516,3.890322580645161,3.4161290322580644,4740.854838709677,1485.0,4461.833333333333,284.96666666666664
2000-03-19,-0.32666666666666666,105.14,5.975,22.763333333333335,4.395652173913044,54.78387096774193,3.8838709677419354,3.393548387096774,4742.658064516129,1481.5,4407.166666666667,285.4
2000-03-20,-0.34,105.46000000000001,5.9875,22.96,4.406521739130435,54.77741935483871,3.8774193548387097,3.370967741935484,4744.461290322581,1478.0,4352.5,289.4
2000-03-21,-0.37,105.78,6.0,21.7,4.417391304347826,54.770967741935486,3.870967741935484,3.3483870967741938,4746.264516129032,1507.75,4518.0,287.5
2000-03-22,-0.37,106.04,6.0,21.49,4.428260869565218,54.76451612903226,3.864516129032258,3.325806451612903,4748.067741935484,1518.0,4620.0,285.1
2000-03-23,-0.44,105.24,6.0,22.26,4.439130434782609,54.75806451612903,3.858064516129032,3.303225806451613,4749.870967741936,1544.0,4732.5,284.5
2000-03-24,-0.44,104.69,6.0,23.31,4.45,54.751612903225805,3.8516129032258064,3.2806451612903227,4751.674193548387,1555.5,4804.0,283.325
2000-03-25,-0.44333333333333336,104.92333333333333,6.0,23.716666666666665,4.460869565217392,54.745161290322585,3.8451612903225807,3.258064516129032,4753.477419354839,1550.0,4790.0,282.15
2000-03-26,-0.44666666666666666,105.15666666666667,6.0,24.123333333333335,4.471739130434782,54.73870967741936,3.8387096774193545,3.235483870967742,4755.2806451612905,1544.5,4776.0,280.975
2000-03-27,-0.45,105.39,6.0,24.53,4.482608695652174,54.73225806451613,3.832258064516129,3.2129032258064516,4757.083870967742,1539.0,4762.0,279.8
2000-03-28,-0.43,105.54,6.0,24.86,4.493478260869566,54.725806451612904,3.825806451612903,3.1903225806451614,4758.887096774194,1529.25,4662.5,279.5
2000-03-29,-0.41,106.2,6.0,24.1,4.504347826086956,54.71935483870968,3.8193548387096774,3.167741935483871,4760.690322580645,1530.0,4469.0,275.9
2000-03-30,-0.46,105.47,6.0,24.42,4.515217391304348,54.71290322580646,3.8129032258064512,3.145161290322581,4762.493548387097,1504.5,4327.5,276.4
2000-03-31,-0.47,105.46,6.0,23.67,4.526086956521739,54.70645161290323,3.8064516129032255,3.1225806451612903,4764.296774193549,1517.5,4457.5,278.4
2000-04-01,-0.4633333333333333,105.465,6.0,23.790000000000003,4.536956521739131,54.7,3.8,3.1,4766.1,1521.1666666666667,4350.0,278.04999999999995
